posted,neighborhood,post title,number bedrooms,sqft,URL,price,cities,towns,neighborhoods,zips,types,parking,laundry
2020-07-23 08:59:00, (26th & Emerson Ave So),UPTOWN - AWESOME 2BR - ALL UTILS INCL & HEAT!!,2.0,950.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-uptown-awesome-2br-all/7152316314.html,1575,Minneapolis,,Lyndale,55408,1,4,4
2020-07-23 08:50:00, (Northeast),Gibson - One Bedrooms in Northeast - Ask About Our Specials!,1.0,608.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-gibson-one-bedrooms-in/7164410792.html,1675,Minneapolis,,St Anthony East,55414,1,2,1
2020-07-23 08:48:00," (1269 7th St W Saint Paul,MN)",One bedroom retro garden level apartment,1.0,750.0,https://minneapolis.craigslist.org/ram/apa/d/one-bedroom-retro-garden-level-apartment/7157891260.html,835,St. Paul,,St. Paul,55102:55105,1,4,3
2020-07-23 08:46:00, (2600 Bryant Ave S),Bright and Open 1 BR in the BEST Uptown Location!!! VIDEO TOUR!,1.0,550.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-bright-and-open-1-br-in-the/7164413680.html,945,Minneapolis,,Whittier,55405,1,4,3
2020-07-23 08:46:00, (St. Paul),Handicap accessible 1 bedroom apt! Move in by 8/1 & Aug rent is free!!,1.0,687.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-handicap-accessible-1/7161199248.html,1145,St. Paul,,St. Paul,55116,1,2,3
2020-07-23 08:46:00, (St. Paul),2 BR Apt  One Month Free Rent w 12 mo lease,2.0,1025.0,https://minneapolis.craigslist.org/ram/apa/d/saint-paul-2-br-apt-one-month-free-rent/7161723811.html,1460,St. Paul,,St. Paul,55116,1,2,3
2020-07-23 08:45:00, (Northloop/Warehouse District),Live at The Archive in North Loop! Brand New - Coming January 2021!,1.0,445.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-live-at-the-archive-in/7164409071.html,1595,Minneapolis,,St Anthony West,55401,1,2,1
2020-07-23 08:45:00, (Northeast),Northeast - Ideal Work from Home 1+den - Now Open - Flexible Leases!,1.0,714.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-northeast-ideal-work-from/7164410407.html,1925,Minneapolis,,St Anthony East,55414,1,2,1
2020-07-23 08:44:00, (Minneapolis),Corner 2BR in the Heart of the North Loop - Coming Soon!,2.0,924.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-corner-2br-in-the-heart-of/7164409377.html,2845,Minneapolis,,St Anthony West,55401,1,2,1
2020-07-23 08:44:00," (Saint Louis Park, MN)",well maintained clean house with yard in st. louis park.,3.0,,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-well-maintained-clean-house/7154263656.html,850,Saint Louis Park,,Willow Park,55426,1,2,
2020-07-23 08:42:00, (North West Roseville),Superb Location-Townhome with finished basement,2.0,1500.0,https://minneapolis.craigslist.org/ram/apa/d/minneapolis-superb-location-townhome/7164412284.html,1425,Roseville,,Roseville,55113,9,3,1
2020-07-23 08:41:00, (West End Neighborhood),This gorgeous 1 bedroom + den is the perfect home for you!,1.0,1065.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-this-gorgeous-1-bedroom-den/7161717454.html,1910,Golden Valley,Golden Valley,Golden Valley,55416,1,2,1
2020-07-23 08:40:00, (Downtown East/Mill District),2 Months Free Rent! 1+Den Living in Downtown East - Flex Move In,1.0,634.0,https://minneapolis.craigslist.org/hnp/apa/d/minneapolis-2-months-free-rent-1den/7164408572.html,1850,Minneapolis,,Marcy-Holmes,55415,1,2,1
